DateTime,LCLid,stdorToU,KWH/hh (per half hour) 
30:00.0,MAC000006,Std,0.096
00:00.0,MAC000006,Std,0.101
30:00.0,MAC000006,Std,0.179
00:00.0,MAC000006,Std,0.058
30:00.0,MAC000006,Std,0.06
00:00.0,MAC000006,Std,0.085
30:00.0,MAC000006,Std,0.05
00:00.0,MAC000006,Std,0.077
30:00.0,MAC000006,Std,0.111
00:00.0,MAC000006,Std,0.081
30:00.0,MAC000006,Std,0.076
00:00.0,MAC000006,Std,0.056
30:00.0,MAC000006,Std,0.046
00:00.0,MAC000006,Std,0.113
30:00.0,MAC000006,Std,0.111
00:00.0,MAC000006,Std,0.122
30:00.0,MAC000006,Std,0.139
00:00.0,MAC000006,Std,0.114
30:00.0,MAC000006,Std,0.117
00:00.0,MAC000006,Std,0.096
30:00.0,MAC000006,Std,0.043
00:00.0,MAC000006,Std,0.079
30:00.0,MAC000006,Std,0.043
00:00.0,MAC000006,Std,0.048
30:00.0,MAC000006,Std,0.061
00:00.0,MAC000006,Std,0.014
30:00.0,MAC000006,Std,0.031
00:00.0,MAC000006,Std,0.039
30:00.0,MAC000006,Std,0.02
00:00.0,MAC000006,Std,0.042
30:00.0,MAC000006,Std,0.023
00:00.0,MAC000006,Std,0.016
30:00.0,MAC000006,Std,0.065
00:00.0,MAC000006,Std,0.038
30:00.0,MAC000006,Std,0.038
00:00.0,MAC000006,Std,0.072
30:00.0,MAC000006,Std,0.037
00:00.0,MAC000006,Std,0.042
30:00.0,MAC000006,Std,0.067
00:00.0,MAC000006,Std,0.051
30:00.0,MAC000006,Std,0.093
00:00.0,MAC000006,Std,0.103
30:00.0,MAC000006,Std,0.078
00:00.0,MAC000006,Std,0.1
30:00.0,MAC000006,Std,0.277
00:00.0,MAC000006,Std,0.047
30:00.0,MAC000006,Std,0.076
00:00.0,MAC000006,Std,0.341
30:00.0,MAC000006,Std,0.456
00:00.0,MAC000006,Std,0.118
30:00.0,MAC000006,Std,0.092
00:00.0,MAC000006,Std,0.101
30:00.0,MAC000006,Std,0.05
00:00.0,MAC000006,Std,0.02
30:00.0,MAC000006,Std,0.029
00:00.0,MAC000006,Std,0.038
30:00.0,MAC000006,Std,0.015
00:00.0,MAC000006,Std,0.034
30:00.0,MAC000006,Std,0.031
00:00.0,MAC000006,Std,0.11
30:00.0,MAC000006,Std,0.109
00:00.0,MAC000006,Std,0.117
30:00.0,MAC000006,Std,0.137
00:00.0,MAC000006,Std,0.098
30:00.0,MAC000006,Std,0.111
00:00.0,MAC000006,Std,0.105
30:00.0,MAC000006,Std,0.089
00:00.0,MAC000006,Std,0.115
30:00.0,MAC000006,Std,0.049
