DateTime,KWH/hh (per half hour) 
2011-12-06 13:00:00,0.105
2011-12-06 13:30:00,0.134
2011-12-06 14:00:00,0.141
2011-12-06 14:30:00,0.13
2011-12-06 15:00:00,0.149
2011-12-06 15:30:00,0.131
2011-12-06 16:00:00,0.133
2011-12-06 16:30:00,0.148
2011-12-06 17:00:00,0.128
2011-12-06 17:30:00,0.128
2011-12-06 18:00:00,0.151
2011-12-06 18:30:00,0.257
2011-12-06 19:00:00,0.135
2011-12-06 19:30:00,0.139
2011-12-06 20:00:00,0.199
2011-12-06 20:30:00,0.148
2011-12-06 21:00:00,0.126
2011-12-06 21:30:00,0.146
2011-12-06 22:00:00,0.129
2011-12-06 22:30:00,0.112
2011-12-06 23:00:00,0.056
2011-12-06 23:30:00,0.022
2011-12-07 00:00:00,0.023
2011-12-07 00:30:00,0.042
2011-12-07 01:00:00,0.023
2011-12-07 01:30:00,0.032
2011-12-07 02:00:00,0.035
2011-12-07 02:30:00,0.021
2011-12-07 03:00:00,0.043
2011-12-07 03:30:00,0.034
2011-12-07 04:00:00,0.022
2011-12-07 04:30:00,0.037
2011-12-07 05:00:00,0.028
2011-12-07 05:30:00,0.022
2011-12-07 06:00:00,0.046
2011-12-07 06:30:00,0.07
2011-12-07 07:00:00,0.059
2011-12-07 07:30:00,0.086
2011-12-07 08:00:00,0.218
2011-12-07 08:30:00,0.154
2011-12-07 09:00:00,0.194
2011-12-07 09:30:00,0.752
2011-12-07 10:00:00,1.292
2011-12-07 10:30:00,1.751
2011-12-07 11:00:00,3.87
2011-12-07 11:30:00,4.054
2011-12-07 12:00:00,3.942
2011-12-07 12:30:00,3.654
2011-12-07 13:00:00,5.571
2011-12-07 13:30:00,5.432
2011-12-07 14:00:00,5.51
2011-12-07 14:30:00,4.797
2011-12-07 15:00:00,5.3249999
2011-12-07 15:30:00,6.518
2011-12-07 16:00:00,4.273000000000001
2011-12-07 16:30:00,4.368
2011-12-07 17:00:00,4.734
2011-12-07 17:30:00,6.048
2011-12-07 18:00:00,6.816
2011-12-07 18:30:00,5.537
2011-12-07 19:00:00,4.769
2011-12-07 19:30:00,5.231
2011-12-07 20:00:00,6.166
2011-12-07 20:30:00,5.9979999
2011-12-07 21:00:00,6.941
2011-12-07 21:30:00,5.976
2011-12-07 22:00:00,6.144
2011-12-07 22:30:00,5.55
2011-12-07 23:00:00,5.9030000000000005
2011-12-07 23:30:00,5.0489999999999995
2011-12-08 00:00:00,3.5420000000000003
2011-12-08 00:30:00,6.73
2011-12-08 01:00:00,6.8850001
2011-12-08 01:30:00,5.3930001
2011-12-08 02:00:00,4.3060001
2011-12-08 02:30:00,4.9620001
2011-12-08 03:00:00,4.431
2011-12-08 03:30:00,4.128
2011-12-08 04:00:00,4.5139999
2011-12-08 04:30:00,3.3109999
2011-12-08 05:00:00,3.066
2011-12-08 05:30:00,3.287
2011-12-08 06:00:00,1.7229999999999999
2011-12-08 06:30:00,2.936
2011-12-08 07:00:00,2.574
2011-12-08 07:30:00,3.537
2011-12-08 08:00:00,4.238
2011-12-08 08:30:00,4.64
2011-12-08 09:00:00,4.746
2011-12-08 09:30:00,4.72
2011-12-08 10:00:00,4.468
2011-12-08 10:30:00,3.5869999999999997
2011-12-08 11:00:00,3.959
2011-12-08 11:30:00,5.2
2011-12-08 12:00:00,6.653
2011-12-08 12:30:00,4.725
2011-12-08 13:00:00,6.821
2011-12-08 13:30:00,6.048
2011-12-08 14:00:00,6.522
2011-12-08 14:30:00,6.784
2011-12-08 15:00:00,4.955
2011-12-08 15:30:00,5.679
2011-12-08 16:00:00,7.339
2011-12-08 16:30:00,6.229
2011-12-08 17:00:00,5.991
2011-12-08 17:30:00,5.773000000000001
2011-12-08 18:00:00,5.430000000000001
2011-12-08 18:30:00,6.225
2011-12-08 19:00:00,5.817
2011-12-08 19:30:00,8.6989999
2011-12-08 20:00:00,6.7219999999999995
2011-12-08 20:30:00,6.9139999
2011-12-08 21:00:00,5.913
2011-12-08 21:30:00,6.3950001
2011-12-08 22:00:00,5.902
2011-12-08 22:30:00,5.391
2011-12-08 23:00:00,4.868
2011-12-08 23:30:00,5.696
2011-12-09 00:00:00,5.1770000000000005
2011-12-09 00:30:00,8.4800001
2011-12-09 01:00:00,6.6329997999999994
2011-12-09 01:30:00,5.157
2011-12-09 02:00:00,5.0110001
2011-12-09 02:30:00,4.928
2011-12-09 03:00:00,4.244
2011-12-09 03:30:00,4.202
2011-12-09 04:00:00,2.8090001
2011-12-09 04:30:00,3.6599999999999997
2011-12-09 05:00:00,3.4180001
2011-12-09 05:30:00,2.9779999999999998
2011-12-09 06:00:00,2.112
2011-12-09 06:30:00,2.8289999999999997
2011-12-09 07:00:00,2.679
2011-12-09 07:30:00,3.075
2011-12-09 08:00:00,4.128
2011-12-09 08:30:00,5.072
2011-12-09 09:00:00,4.132
2011-12-09 09:30:00,4.19
2011-12-09 10:00:00,4.593
2011-12-09 10:30:00,5.873
2011-12-09 11:00:00,4.508
2011-12-09 11:30:00,4.135
2011-12-09 12:00:00,5.64
2011-12-09 12:30:00,6.4229999
2011-12-09 13:00:00,4.33
2011-12-09 13:30:00,3.625
2011-12-09 14:00:00,4.883
2011-12-09 14:30:00,3.645
2011-12-09 15:00:00,3.8409999999999997
2011-12-09 15:30:00,4.297
2011-12-09 16:00:00,3.754
2011-12-09 16:30:00,3.4730000000000003
2011-12-09 17:00:00,3.7359999999999998
2011-12-09 17:30:00,5.7219999
2011-12-09 18:00:00,4.585
2011-12-09 18:30:00,5.064
2011-12-09 19:00:00,5.282
2011-12-09 19:30:00,4.889
2011-12-09 20:00:00,5.724
2011-12-09 20:30:00,5.506
2011-12-09 21:00:00,4.398
2011-12-09 21:30:00,4.873
2011-12-09 22:00:00,5.054
2011-12-09 22:30:00,5.023
2011-12-09 23:00:00,4.595
2011-12-09 23:30:00,3.942
2011-12-10 00:00:00,3.6510000000000002
2011-12-10 00:30:00,8.408999999999999
2011-12-10 01:00:00,6.5299998
2011-12-10 01:30:00,5.413
2011-12-10 02:00:00,4.7969999
2011-12-10 02:30:00,4.479
2011-12-10 03:00:00,4.362
2011-12-10 03:30:00,4.251
2011-12-10 04:00:00,3.421
2011-12-10 04:30:00,3.176
2011-12-10 05:00:00,3.8370001
2011-12-10 05:30:00,2.964
2011-12-10 06:00:00,2.093
2011-12-10 06:30:00,2.251
2011-12-10 07:00:00,2.59
2011-12-10 07:30:00,3.0420000000000003
2011-12-10 08:00:00,3.537
2011-12-10 08:30:00,3.379
2011-12-10 09:00:00,3.843
2011-12-10 09:30:00,3.8080000000000003
2011-12-10 10:00:00,3.543
2011-12-10 10:30:00,3.37
2011-12-10 11:00:00,4.103
2011-12-10 11:30:00,5.057
2011-12-10 12:00:00,5.0260001
2011-12-10 12:30:00,4.763
2011-12-10 13:00:00,7.232
2011-12-10 13:30:00,6.656
2011-12-10 14:00:00,5.117
2011-12-10 14:30:00,8.213
2011-12-10 15:00:00,6.288
2011-12-10 15:30:00,6.49
2011-12-10 16:00:00,5.626
2011-12-10 16:30:00,4.885
2011-12-10 17:00:00,5.235
2011-12-10 17:30:00,6.7780000000000005
2011-12-10 18:00:00,8.031
2011-12-10 18:30:00,8.047
2011-12-10 19:00:00,6.925
2011-12-10 19:30:00,6.4589999
2011-12-10 20:00:00,7.398
2011-12-10 20:30:00,6.468
2011-12-10 21:00:00,5.5440000000000005
2011-12-10 21:30:00,5.547
2011-12-10 22:00:00,6.497
2011-12-10 22:30:00,6.111
2011-12-10 23:00:00,5.442
2011-12-10 23:30:00,5.484
2011-12-11 00:00:00,4.358
2011-12-11 00:30:00,8.757
2011-12-11 01:00:00,8.269
2011-12-11 01:30:00,6.3790000000000004
2011-12-11 02:00:00,5.36
2011-12-11 02:30:00,5.247
2011-12-11 03:00:00,4.404
2011-12-11 03:30:00,4.363000100000001
2011-12-11 04:00:00,3.84
2011-12-11 04:30:00,3.59
2011-12-11 05:00:00,3.452
2011-12-11 05:30:00,2.511
2011-12-11 06:00:00,3.9049999000000004
2011-12-11 06:30:00,3.7530001
2011-12-11 07:00:00,3.142
2011-12-11 07:30:00,2.798
2011-12-11 08:00:00,3.546
2011-12-11 08:30:00,3.702
2011-12-11 09:00:00,4.232
2011-12-11 09:30:00,4.489
2011-12-11 10:00:00,4.58
2011-12-11 10:30:00,3.746
2011-12-11 11:00:00,3.8160000000000003
2011-12-11 11:30:00,4.13
2011-12-11 12:00:00,4.763
2011-12-11 12:30:00,5.54
2011-12-11 13:00:00,6.158
2011-12-11 13:30:00,5.837
2011-12-11 14:00:00,6.5110000999999995
2011-12-11 14:30:00,7.7649999
2011-12-11 15:00:00,8.7110001
2011-12-11 15:30:00,9.793
2011-12-11 16:00:00,6.293
2011-12-11 16:30:00,7.058
2011-12-11 17:00:00,7.3740000000000006
2011-12-11 17:30:00,7.847
2011-12-11 18:00:00,7.825
2011-12-11 18:30:00,7.8890002
2011-12-11 19:00:00,11.262
2011-12-11 19:30:00,9.058
2011-12-11 20:00:00,7.593
2011-12-11 20:30:00,6.506
2011-12-11 21:00:00,7.866
2011-12-11 21:30:00,7.49
2011-12-11 22:00:00,6.035
2011-12-11 22:30:00,6.8780001
2011-12-11 23:00:00,5.417
2011-12-11 23:30:00,3.811
2011-12-12 00:00:00,3.238
2011-12-12 00:30:00,7.093
2011-12-12 01:00:00,6.979
2011-12-12 01:30:00,6.1209999999999996
2011-12-12 02:00:00,5.4
2011-12-12 02:30:00,5.3
2011-12-12 03:00:00,5.132
2011-12-12 03:30:00,5.1770000000000005
2011-12-12 04:00:00,4.482
2011-12-12 04:30:00,3.985
2011-12-12 05:00:00,3.457
2011-12-12 05:30:00,2.763
2011-12-12 06:00:00,2.374
2011-12-12 06:30:00,4.085
2011-12-12 07:00:00,4.501
2011-12-12 07:30:00,3.981
2011-12-12 08:00:00,5.297
2011-12-12 08:30:00,6.585
2011-12-12 09:00:00,5.995
2011-12-12 09:30:00,5.947
2011-12-12 10:00:00,5.959
2011-12-12 10:30:00,5.027
2011-12-12 11:00:00,4.446
2011-12-12 11:30:00,5.086
2011-12-12 12:00:00,4.691
2011-12-12 12:30:00,5.942
2011-12-12 13:00:00,5.572
2011-12-12 13:30:00,7.304
2011-12-12 14:00:00,7.2350001
2011-12-12 14:30:00,4.8569999
2011-12-12 15:00:00,5.126
2011-12-12 15:30:00,7.537
2011-12-12 16:00:00,8.7810001
2011-12-12 16:30:00,6.1979999
2011-12-12 17:00:00,6.937
2011-12-12 17:30:00,6.214
2011-12-12 18:00:00,5.82
2011-12-12 18:30:00,7.731
2011-12-12 19:00:00,5.663
2011-12-12 19:30:00,5.813
2011-12-12 20:00:00,7.6729999
2011-12-12 20:30:00,5.744
2011-12-12 21:00:00,5.0360000000000005
2011-12-12 21:30:00,5.392
2011-12-12 22:00:00,6.271
2011-12-12 22:30:00,5.5449999
2011-12-12 23:00:00,4.979
2011-12-12 23:30:00,5.571
2011-12-13 00:00:00,3.972
2011-12-13 00:30:00,7.6040000999999995
2011-12-13 01:00:00,6.843
2011-12-13 01:30:00,5.31
2011-12-13 02:00:00,5.306
2011-12-13 02:30:00,4.84
2011-12-13 03:00:00,4.902
2011-12-13 03:30:00,4.0949998999999995
2011-12-13 04:00:00,2.444
2011-12-13 04:30:00,2.267
2011-12-13 05:00:00,1.851
2011-12-13 05:30:00,3.673
2011-12-13 06:00:00,3.544
2011-12-13 06:30:00,2.967
2011-12-13 07:00:00,3.127
2011-12-13 07:30:00,2.925
2011-12-13 08:00:00,4.014
2011-12-13 08:30:00,5.37
2011-12-13 09:00:00,4.46
2011-12-13 09:30:00,3.666
2011-12-13 10:00:00,4.041
2011-12-13 10:30:00,5.6679999
2011-12-13 11:00:00,5.016
2011-12-13 11:30:00,6.213
2011-12-13 12:00:00,6.198
2011-12-13 12:30:00,4.413
2011-12-13 13:00:00,7.2539999
2011-12-13 13:30:00,6.3369999
2011-12-13 14:00:00,4.871
2011-12-13 14:30:00,4.148
2011-12-13 15:00:00,3.874
2011-12-13 15:30:00,3.935
2011-12-13 16:00:00,4.7509999999999994
2011-12-13 16:30:00,5.4000001
2011-12-13 17:00:00,5.39
2011-12-13 17:30:00,6.047
2011-12-13 18:00:00,5.22
2011-12-13 18:30:00,4.982
2011-12-13 19:00:00,5.008
2011-12-13 19:30:00,6.1910001
2011-12-13 20:00:00,5.578
2011-12-13 20:30:00,5.029
2011-12-13 21:00:00,5.152
2011-12-13 21:30:00,6.7909999
2011-12-13 22:00:00,5.236
2011-12-13 22:30:00,5.3699999
2011-12-13 23:00:00,5.3439999
2011-12-13 23:30:00,3.992
2011-12-14 00:00:00,3.44
2011-12-14 00:30:00,9.039
2011-12-14 01:00:00,7.875
2011-12-14 01:30:00,7.4320001
2011-12-14 02:00:00,6.9970001
2011-12-14 02:30:00,6.362
2011-12-14 03:00:00,6.45
2011-12-14 03:30:00,6.0570001
2011-12-14 04:00:00,4.511
2011-12-14 04:30:00,4.4
2011-12-14 05:00:00,2.717
2011-12-14 05:30:00,2.856
2011-12-14 06:00:00,3.3890000000000002
2011-12-14 06:30:00,4.147
2011-12-14 07:00:00,3.7560000000000002
2011-12-14 07:30:00,3.503
2011-12-14 08:00:00,4.418
2011-12-14 08:30:00,5.296
2011-12-14 09:00:00,5.472
2011-12-14 09:30:00,5.724
2011-12-14 10:00:00,3.961
2011-12-14 10:30:00,4.493
2011-12-14 11:00:00,5.222
2011-12-14 11:30:00,5.125
2011-12-14 12:00:00,5.416
2011-12-14 12:30:00,4.682
2011-12-14 13:00:00,4.743
2011-12-14 13:30:00,6.0329999999999995
2011-12-14 14:00:00,5.886
2011-12-14 14:30:00,6.687
2011-12-14 15:00:00,5.043
2011-12-14 15:30:00,5.075
2011-12-14 16:00:00,5.8250001
2011-12-14 16:30:00,7.2190001
2011-12-14 17:00:00,6.054
2011-12-14 17:30:00,6.139
2011-12-14 18:00:00,6.553
2011-12-14 18:30:00,8.3009999
2011-12-14 19:00:00,7.6690000000000005
2011-12-14 19:30:00,7.0
2011-12-14 20:00:00,6.3549999999999995
2011-12-14 20:30:00,8.042000100000001
2011-12-14 21:00:00,6.535
