Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,17.85,0.92,21.74,0.03,0.96,35.77,0.9,17.52,0.06,0.96
,18.57,0.92,19.06,0.06,0.98,36.68,0.91,16.16,0.06,0.97
,20.77,0.85,18.91,0.08,0.94,39.28,0.85,14.91,0.02,0.87
,15.82,0.93,20.04,0.05,0.98,32.25,0.93,16.2,0.04,0.97
,17.32,0.95,22.61,0.04,0.99,33.8,0.93,17.53,0.03,0.96
,20.58,0.95,20.95,0.03,0.98,34.04,0.97,20.63,0.01,0.98
,16.06,0.88,18.91,0.09,0.97,35.25,0.83,14.12,0.08,0.9
,15.69,0.86,18.08,0.07,0.93,30.65,0.9,18.42,0.04,0.94
,15.26,0.92,20.46,0.03,0.96,30.26,0.9,17.79,0.05,0.95
,15.24,0.92,18.1,0.02,0.95,32.39,0.91,17.8,0.06,0.97
Mean,17.32,0.91,19.89,0.05,0.96,34.04,0.9,17.11,0.05,0.95
Std Dev,1.99,0.03,1.46,0.02,0.02,2.66,0.04,1.76,0.02,0.03
PICP > 0.9 Count,,7,,,,,8,,,
