Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,36.16,0.91,181.87,0.02,0.93,67.67,0.92,179.98,0.04,0.96
,35.93,0.90,173.30,0.03,0.93,68.31,0.89,174.65,0.05,0.94
,35.23,0.91,171.53,0.02,0.93,68.06,0.92,175.43,0.03,0.95
,37.41,0.92,181.69,0.02,0.93,69.70,0.89,161.00,0.03,0.92
,36.23,0.91,173.05,0.02,0.93,72.07,0.90,168.22,0.02,0.92
,42.76,0.89,149.25,0.03,0.93,87.64,0.90,271.48,0.05,0.95
,45.39,0.89,166.77,0.03,0.92,84.69,0.90,169.26,0.04,0.94
,41.92,0.91,166.36,0.02,0.93,81.41,0.91,284.77,0.02,0.94
,47.71,0.89,174.42,0.02,0.92,70.42,0.89,175.35,0.04,0.94
,43.41,0.91,179.46,0.02,0.93,73.59,0.90,164.96,0.03,0.93
Mean,40.21,0.90,171.77,0.02,0.93,74.36,0.90,192.51,0.04,0.94
Std Dev,4.31,0.01,9.12,0.00,0.00,7.05,0.01,43.23,0.01,0.01
PICP > 0.9 Count,,7,,,,,7,,,
