Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,16.1,0.9,949.1,0.03,0.93,31.05,0.91,1045.68,0.02,0.93
,15.95,0.92,1027.65,0.03,0.95,31.01,0.93,1085.63,0.02,0.95
,15.96,0.88,925.9,0.06,0.94,31.21,0.9,958.13,0.04,0.94
,15.78,0.93,1048.85,0.03,0.95,30.82,0.91,1053.35,0.02,0.93
,15.78,0.91,960.39,0.03,0.94,30.73,0.92,1063.22,0.02,0.94
,15.98,0.88,1012.73,0.06,0.94,31,0.88,1035.77,0.06,0.93
,15.93,0.89,969.64,0.04,0.93,30.81,0.89,972.44,0.06,0.95
,15.83,0.9,913.73,0.03,0.94,30.84,0.88,974.81,0.04,0.93
,15.77,0.93,1013.12,0.03,0.96,34.95,0.92,1000.68,0.02,0.94
,19.74,0.91,1007.19,0.03,0.94,38.16,0.9,1032.21,0.02,0.93
Mean,16.28,0.9,982.83,0.04,0.94,32.06,0.9,1022.19,0.03,0.94
Std Dev,1.16,0.02,43.13,0.01,0.01,2.36,0.02,40.99,0.01,0.01
PICP > 0.9 Count,,7,,,,,7,,,
