Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,9.12,0.87,0.47,0.04,0.91,15.90,0.86,0.40,0.04,0.90
,9.02,0.92,0.46,0.03,0.95,16.02,0.92,0.49,0.02,0.95
,9.09,0.91,0.48,0.03,0.94,16.18,0.90,0.43,0.02,0.92
,8.97,0.91,0.47,0.03,0.94,15.90,0.91,0.43,0.02,0.93
,8.87,0.91,0.45,0.02,0.93,16.53,0.88,0.43,0.01,0.89
,8.74,0.94,0.46,0.02,0.96,16.35,0.88,0.40,0.04,0.91
,8.92,0.92,0.43,0.02,0.93,15.94,0.88,0.40,0.01,0.90
,9.03,0.92,0.47,0.02,0.94,15.90,0.88,0.44,0.02,0.90
,8.95,0.90,0.49,0.05,0.95,16.21,0.92,0.42,0.02,0.94
,9.44,0.93,0.49,0.01,0.94,28.10,0.92,0.44,0.01,0.93
Mean,9.01,0.91,0.47,0.03,0.94,17.30,0.90,0.43,0.02,0.92
Std Dev,0.18,0.02,0.02,0.01,0.01,3.61,0.02,0.02,0.01,0.02
PICP > 0.9 Count,,9.00,,,,,5.00,,,
