Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,94.68,0.89,16.14,0.04,0.94,175.12,0.92,15.02,0.56,0.93
,95.2,0.9,15.6,0.04,0.94,195.8,0.91,13.53,0.55,0.93
,103.53,0.91,18.63,0.04,0.95,182.64,0.92,22.37,0.56,0.93
,99.46,0.9,17.22,0.05,0.94,177.77,0.94,15.25,0.55,0.95
,97.72,0.9,19.09,0.04,0.94,179.2,0.92,24.17,0.56,0.94
,95.98,0.9,16.04,0.04,0.94,178.75,0.92,17.95,0.55,0.94
,106.37,0.91,21.42,0.04,0.95,185.9,0.91,24.66,0.01,0.92
,99.36,0.9,17.93,0.04,0.94,184.81,0.9,23.79,0.01,0.91
,101.57,0.9,17.73,0.04,0.94,184.38,0.9,14.94,0.55,0.91
,99.65,0.91,18.02,0.04,0.95,183.77,0.91,13.43,0.56,0.93
Mean,99.35,0.9,17.78,0.04,0.94,182.81,0.91,18.51,0.45,0.93
Std Dev,3.53,0,1.63,0,0,5.48,0.01,4.46,0.22,0.01
PICP >= 0.9,,9,,,,,10,,,
