Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,2.64,0.89,10.13,0.04,0.93,4.67,0.84,8.54,0.06,0.90
,2.63,0.92,13.92,0.03,0.95,4.73,0.92,10.09,0.05,0.97
,2.58,0.90,21.29,0.08,0.98,4.68,0.91,8.76,0.06,0.97
,2.64,0.87,9.06,0.03,0.90,4.87,0.92,10.01,0.03,0.95
,2.84,0.95,11.66,0.01,0.96,4.78,0.89,9.25,0.05,0.94
,2.64,0.91,18.36,0.06,0.97,4.77,0.85,8.84,0.10,0.95
,2.63,0.90,10.03,0.02,0.92,4.75,0.87,8.94,0.03,0.90
,2.68,0.97,13.45,0.01,0.98,4.69,0.93,10.97,0.03,0.96
,2.63,0.95,11.28,0.01,0.96,4.67,0.87,9.48,0.06,0.93
,2.70,0.90,11.96,0.03,0.93,4.73,0.89,8.87,0.02,0.91
Mean,2.66,0.92,13.12,0.03,0.95,4.73,0.89,9.38,0.05,0.94
Std Dev,0.07,0.03,3.70,0.02,0.03,0.06,0.03,0.73,0.02,0.03
PICP > 0.9,,8.00,,,,,4.00,,,
