Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,43.29,0.91,0.02,0.01,0.92,77.62,0.9,0.02,0.08,0.98
,43.15,0.9,0.02,0.02,0.91,76.67,0.9,0.02,0.02,0.91
,44.99,0.9,0.02,0.02,0.9,78.22,0.9,0.02,0.05,0.94
,43.55,0.9,0.01,0.01,0.9,78.5,0.91,0.02,0,0.91
,42.67,0.91,0.03,0.02,0.92,83.4,0.9,0.02,0.05,0.95
,53.1,0.89,0.01,0.01,0.9,96.12,0.9,0.02,0.1,1
,53,0.89,0.02,0.02,0.9,94.1,0.91,0.02,0.09,1
,52.53,0.88,0.01,0.02,0.89,88.85,0.91,0.02,0.01,0.92
,47.8,0.89,0.02,0.02,0.91,79.38,0.89,0.02,0.09,0.98
,42.92,0.91,0.02,0.01,0.92,78.15,0.9,0.02,0.05,0.95
Mean,46.7,0.9,0.02,0.02,0.91,83.1,0.9,0.02,0.05,0.95
Std Dev,4.28,0.01,0,0,0.01,6.92,0.01,0,0.03,0.03
PICP > 0.9,,6,,,,,9,,,
