Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,24.68,0.79,1.59,0.15,0.94,39.50,0.89,1.95,0.10,0.98
,17.38,0.95,1.91,0.03,0.98,42.00,0.90,2.18,0.05,0.95
,20.60,0.92,3.23,0.03,0.95,35.15,0.90,3.80,0.03,0.94
,17.08,0.94,2.06,0.03,0.97,36.82,0.81,1.96,0.16,0.97
,18.05,0.85,2.09,0.08,0.94,41.24,0.81,1.60,0.06,0.87
,16.97,0.89,2.82,0.05,0.94,36.41,0.87,2.77,0.10,0.97
,19.59,0.85,2.53,0.05,0.90,42.52,0.90,3.43,0.05,0.95
,18.52,0.94,2.72,0.05,0.98,42.99,0.87,1.94,0.08,0.95
,24.33,0.94,3.45,0.00,0.94,65.76,0.85,2.47,0.02,0.87
,26.70,0.97,2.27,0.02,0.98,34.76,0.84,1.61,0.10,0.94
Mean,20.39,0.90,2.47,0.05,0.95,41.72,0.86,2.37,0.07,0.94
Std Dev,3.39,0.05,0.56,0.04,0.03,8.54,0.04,0.71,0.04,0.04
PICP > 0.9 Count,,6,,,,,3,,,
