Metric,Training Time(s) (Tube Loss),PICP (Tube),MPIW (Tube),Low Coverage (Tube),High Coverage (Tube),Training Time(s) (CQR),PICP (CQR),MPIW (CQR),Low Coverage (CQR),High Coverage (CQR)
,25.9,0.91,10.8,0.04,0.95,58.6,0.95,11.04,0.03,0.97
,25.07,0.91,8.98,0.04,0.95,50.19,0.91,8.45,0.05,0.96
,24.62,0.97,11.38,0.01,0.99,51.48,0.96,11.01,0.03,0.99
,31.95,0.92,7.75,0.05,0.97,48.86,0.82,9.22,0.16,0.99
,23.81,0.95,10.43,0.03,0.97,54.08,0.91,10.05,0.01,0.92
,37.37,0.96,7.89,0.03,0.99,58.36,0.91,9.87,0.04,0.95
,31.02,0.92,9.86,0.04,0.96,53.09,0.95,11.18,0.01,0.96
,30.06,0.85,9.9,0.06,0.91,61.64,0.87,10.44,0.05,0.92
,27.26,0.97,11.09,0,0.97,48.44,0.96,8.6,0,0.96
,24.08,0.95,10.96,0.03,0.97,47.37,0.94,10.47,0.04,0.97
Mean,28.11,0.93,9.90,0.03,0.96,53.21,0.92,10.03,0.04,0.96
Std Dev,4.18,0.04,1.24,0.02,0.02,4.64,0.04,0.94,0.04,0.02
PICP > 0.9 Count,,9,,,,,8,,,
