DateTime,LCLid,stdorToU,KWH/hh (per half hour) 
10/12/2012 11:30,MAC000002,Std,0.143
00:00.0,MAC000002,Std,0.663
30:00.0,MAC000002,Std,0.256
00:00.0,MAC000002,Std,0.155
30:00.0,MAC000002,Std,0.199
00:00.0,MAC000002,Std,0.125
30:00.0,MAC000002,Std,0.165
00:00.0,MAC000002,Std,0.14
30:00.0,MAC000002,Std,0.148
00:00.0,MAC000002,Std,0.154
30:00.0,MAC000002,Std,0.137
00:00.0,MAC000002,Std,0.493
30:00.0,MAC000002,Std,0.354
00:00.0,MAC000002,Std,0.228
30:00.0,MAC000002,Std,0.195
00:00.0,MAC000002,Std,0.527
30:00.0,MAC000002,Std,0.886
00:00.0,MAC000002,Std,0.198
30:00.0,MAC000002,Std,0.243
00:00.0,MAC000002,Std,0.193
30:00.0,MAC000002,Std,0.342
00:00.0,MAC000002,Std,0.27
30:00.0,MAC000002,Std,0.325
00:00.0,MAC000002,Std,0.269
30:00.0,MAC000002,Std,0.29
00:00.0,MAC000002,Std,0.263
30:00.0,MAC000002,Std,0.269
00:00.0,MAC000002,Std,0.275
30:00.0,MAC000002,Std,0.256
00:00.0,MAC000002,Std,0.211
30:00.0,MAC000002,Std,0.136
00:00.0,MAC000002,Std,0.161
30:00.0,MAC000002,Std,0.119
00:00.0,MAC000002,Std,0.167
30:00.0,MAC000002,Std,0.109
00:00.0,MAC000002,Std,0.168
30:00.0,MAC000002,Std,0.107
00:00.0,MAC000002,Std,0.166
30:00.0,MAC000002,Std,0.117
00:00.0,MAC000002,Std,0.157
30:00.0,MAC000002,Std,0.126
00:00.0,MAC000002,Std,0.146
30:00.0,MAC000002,Std,0.106
00:00.0,MAC000002,Std,0.135
30:00.0,MAC000002,Std,0.191
00:00.0,MAC000002,Std,0.915
30:00.0,MAC000002,Std,0.933
00:00.0,MAC000002,Std,0.122
30:00.0,MAC000002,Std,0.138
00:00.0,MAC000002,Std,0.076
30:00.0,MAC000002,Std,0.133
00:00.0,MAC000002,Std,0.076
30:00.0,MAC000002,Std,0.133
00:00.0,MAC000002,Std,0.085
30:00.0,MAC000002,Std,0.263
00:00.0,MAC000002,Std,0.134
30:00.0,MAC000002,Std,0.235
00:00.0,MAC000002,Std,0.124
30:00.0,MAC000002,Std,0.184
00:00.0,MAC000002,Std,0.23
30:00.0,MAC000002,Std,0.176
00:00.0,MAC000002,Std,0.388
30:00.0,MAC000002,Std,0.26
00:00.0,MAC000002,Std,0.918
30:00.0,MAC000002,Std,0.278
00:00.0,MAC000002,Std,0.267
30:00.0,MAC000002,Std,0.239
00:00.0,MAC000002,Std,0.23
30:00.0,MAC000002,Std,0.233
00:00.0,MAC000002,Std,0.235
30:00.0,MAC000002,Std,0.188
00:00.0,MAC000002,Std,0.259
30:00.0,MAC000002,Std,0.25
00:00.0,MAC000002,Std,0.262
30:00.0,MAC000002,Std,0.166
00:00.0,MAC000002,Std,0.226
30:00.0,MAC000002,Std,0.088
00:00.0,MAC000002,Std,0.126
30:00.0,MAC000002,Std,0.082
00:00.0,MAC000002,Std,0.123
30:00.0,MAC000002,Std,0.083
00:00.0,MAC000002,Std,0.12
30:00.0,MAC000002,Std,0.079
00:00.0,MAC000002,Std,0.121
30:00.0,MAC000002,Std,0.075
00:00.0,MAC000002,Std,0.124
30:00.0,MAC000002,Std,0.073
00:00.0,MAC000002,Std,0.125
30:00.0,MAC000002,Std,0.07
00:00.0,MAC000002,Std,0.13
30:00.0,MAC000002,Std,0.108
00:00.0,MAC000002,Std,0.196
30:00.0,MAC000002,Std,0.346
00:00.0,MAC000002,Std,0.524
30:00.0,MAC000002,Std,0.076
00:00.0,MAC000002,Std,0.129
30:00.0,MAC000002,Std,0.667
00:00.0,MAC000002,Std,0.23
30:00.0,MAC000002,Std,0.22
00:00.0,MAC000002,Std,0.163
30:00.0,MAC000002,Std,0.091
00:00.0,MAC000002,Std,0.17
30:00.0,MAC000002,Std,0.11
00:00.0,MAC000002,Std,0.11
30:00.0,MAC000002,Std,0.121
00:00.0,MAC000002,Std,0.099
30:00.0,MAC000002,Std,0.157
00:00.0,MAC000002,Std,0.093
30:00.0,MAC000002,Std,0.371
00:00.0,MAC000002,Std,0.386
30:00.0,MAC000002,Std,1.085
00:00.0,MAC000002,Std,1.075
30:00.0,MAC000002,Std,0.956
00:00.0,MAC000002,Std,0.821
30:00.0,MAC000002,Std,0.745
00:00.0,MAC000002,Std,0.712
30:00.0,MAC000002,Std,0.511
00:00.0,MAC000002,Std,0.231
30:00.0,MAC000002,Std,0.21
00:00.0,MAC000002,Std,0.278
30:00.0,MAC000002,Std,0.159
00:00.0,MAC000002,Std,0.192
30:00.0,MAC000002,Std,0.097
00:00.0,MAC000002,Std,0.141
30:00.0,MAC000002,Std,0.083
00:00.0,MAC000002,Std,0.132
30:00.0,MAC000002,Std,0.07
00:00.0,MAC000002,Std,0.13
30:00.0,MAC000002,Std,0.074
00:00.0,MAC000002,Std,0.124
30:00.0,MAC000002,Std,0.078
00:00.0,MAC000002,Std,0.118
30:00.0,MAC000002,Std,0.082
00:00.0,MAC000002,Std,0.112
30:00.0,MAC000002,Std,0.087
00:00.0,MAC000002,Std,0.106
30:00.0,MAC000002,Std,0.14
00:00.0,MAC000002,Std,0.12
30:00.0,MAC000002,Std,1.075
00:00.0,MAC000002,Std,0.146
30:00.0,MAC000002,Std,0.123
00:00.0,MAC000002,Std,0.082
30:00.0,MAC000002,Std,0.127
00:00.0,MAC000002,Std,0.077
30:00.0,MAC000002,Std,0.551
00:00.0,MAC000002,Std,0.149
30:00.0,MAC000002,Std,0.129
00:00.0,MAC000002,Std,0.075
30:00.0,MAC000002,Std,0.13
00:00.0,MAC000002,Std,0.075
30:00.0,MAC000002,Std,0.129
00:00.0,MAC000002,Std,0.075
30:00.0,MAC000002,Std,0.128
00:00.0,MAC000002,Std,0.166
30:00.0,MAC000002,Std,0.194
00:00.0,MAC000002,Std,0.695
30:00.0,MAC000002,Std,0.26
00:00.0,MAC000002,Std,0.227
30:00.0,MAC000002,Std,0.255
00:00.0,MAC000002,Std,1.164
30:00.0,MAC000002,Std,0.249
00:00.0,MAC000002,Std,0.225
30:00.0,MAC000002,Std,0.258
00:00.0,MAC000002,Std,0.26
30:00.0,MAC000002,Std,0.334
00:00.0,MAC000002,Std,0.299
30:00.0,MAC000002,Std,0.236
00:00.0,MAC000002,Std,0.241
30:00.0,MAC000002,Std,0.237
00:00.0,MAC000002,Std,0.237
30:00.0,MAC000002,Std,0.237
00:00.0,MAC000002,Std,0.193
30:00.0,MAC000002,Std,0.118
00:00.0,MAC000002,Std,0.098
30:00.0,MAC000002,Std,0.107
00:00.0,MAC000002,Std,0.094
30:00.0,MAC000002,Std,0.109
00:00.0,MAC000002,Std,0.091
30:00.0,MAC000002,Std,0.105
00:00.0,MAC000002,Std,0.091
30:00.0,MAC000002,Std,0.104
00:00.0,MAC000002,Std,0.092
30:00.0,MAC000002,Std,0.103
00:00.0,MAC000002,Std,0.093
30:00.0,MAC000002,Std,0.101
00:00.0,MAC000002,Std,0.144
30:00.0,MAC000002,Std,0.1
00:00.0,MAC000002,Std,0.408
30:00.0,MAC000002,Std,0.102
00:00.0,MAC000002,Std,0.1
30:00.0,MAC000002,Std,0.116
00:00.0,MAC000002,Std,0.354
30:00.0,MAC000002,Std,0.146
00:00.0,MAC000002,Std,0.19
30:00.0,MAC000002,Std,0.991
00:00.0,MAC000002,Std,0.31
30:00.0,MAC000002,Std,0.121
00:00.0,MAC000002,Std,0.113
30:00.0,MAC000002,Std,0.094
00:00.0,MAC000002,Std,0.119
30:00.0,MAC000002,Std,0.087
00:00.0,MAC000002,Std,0.13
30:00.0,MAC000002,Std,0.238
00:00.0,MAC000002,Std,0.204
30:00.0,MAC000002,Std,0.284
00:00.0,MAC000002,Std,0.447
30:00.0,MAC000002,Std,0.266
00:00.0,MAC000002,Std,0.966
30:00.0,MAC000002,Std,0.172
00:00.0,MAC000002,Std,0.192
30:00.0,MAC000002,Std,0.228
00:00.0,MAC000002,Std,0.203
30:00.0,MAC000002,Std,0.211
00:00.0,MAC000002,Std,0.188
30:00.0,MAC000002,Std,0.213
00:00.0,MAC000002,Std,0.157
30:00.0,MAC000002,Std,0.202
00:00.0,MAC000002,Std,0.157
30:00.0,MAC000002,Std,0.211
00:00.0,MAC000002,Std,0.155
30:00.0,MAC000002,Std,0.169
00:00.0,MAC000002,Std,0.101
30:00.0,MAC000002,Std,0.117
00:00.0,MAC000002,Std,0.084
30:00.0,MAC000002,Std,0.118
00:00.0,MAC000002,Std,0.08
30:00.0,MAC000002,Std,0.119
00:00.0,MAC000002,Std,0.075
30:00.0,MAC000002,Std,0.123
00:00.0,MAC000002,Std,0.071
30:00.0,MAC000002,Std,0.126
00:00.0,MAC000002,Std,0.067
30:00.0,MAC000002,Std,0.124
00:00.0,MAC000002,Std,0.118
30:00.0,MAC000002,Std,0.132
00:00.0,MAC000002,Std,0.358
30:00.0,MAC000002,Std,0.628
00:00.0,MAC000002,Std,0.784
30:00.0,MAC000002,Std,0.681
00:00.0,MAC000002,Std,0.749
30:00.0,MAC000002,Std,0.593
00:00.0,MAC000002,Std,0.502
30:00.0,MAC000002,Std,0.115
00:00.0,MAC000002,Std,0.113
30:00.0,MAC000002,Std,0.092
00:00.0,MAC000002,Std,0.124
30:00.0,MAC000002,Std,0.084
00:00.0,MAC000002,Std,0.125
30:00.0,MAC000002,Std,0.078
00:00.0,MAC000002,Std,0.136
30:00.0,MAC000002,Std,0.227
00:00.0,MAC000002,Std,0.207
30:00.0,MAC000002,Std,0.141
00:00.0,MAC000002,Std,0.258
30:00.0,MAC000002,Std,0.217
00:00.0,MAC000002,Std,0.223
30:00.0,MAC000002,Std,0.075
00:00.0,MAC000002,Std,0.23
30:00.0,MAC000002,Std,0.208
00:00.0,MAC000002,Std,0.265
30:00.0,MAC000002,Std,0.377
00:00.0,MAC000002,Std,0.327
30:00.0,MAC000002,Std,0.277
00:00.0,MAC000002,Std,0.288
30:00.0,MAC000002,Std,0.256
00:00.0,MAC000002,Std,0.288
30:00.0,MAC000002,Std,0.259
00:00.0,MAC000002,Std,0.291
30:00.0,MAC000002,Std,0.238
00:00.0,MAC000002,Std,0.17
30:00.0,MAC000002,Std,0.116
00:00.0,MAC000002,Std,0.165
30:00.0,MAC000002,Std,0.112
00:00.0,MAC000002,Std,0.166
30:00.0,MAC000002,Std,0.109
00:00.0,MAC000002,Std,0.166
30:00.0,MAC000002,Std,0.106
00:00.0,MAC000002,Std,0.165
30:00.0,MAC000002,Std,0.102
00:00.0,MAC000002,Std,0.164
30:00.0,MAC000002,Std,0.103
00:00.0,MAC000002,Std,0.173
30:00.0,MAC000002,Std,0.145
00:00.0,MAC000002,Std,0.366
30:00.0,MAC000002,Std,0.187
00:00.0,MAC000002,Std,0.194
30:00.0,MAC000002,Std,0.19
00:00.0,MAC000002,Std,0.192
30:00.0,MAC000002,Std,0.313
00:00.0,MAC000002,Std,0.125
30:00.0,MAC000002,Std,0.139
00:00.0,MAC000002,Std,0.127
30:00.0,MAC000002,Std,0.144
00:00.0,MAC000002,Std,0.122
30:00.0,MAC000002,Std,0.149
00:00.0,MAC000002,Std,0.119
30:00.0,MAC000002,Std,0.151
00:00.0,MAC000002,Std,0.113
30:00.0,MAC000002,Std,0.154
00:00.0,MAC000002,Std,0.151
30:00.0,MAC000002,Std,0.228
00:00.0,MAC000002,Std,0.112
30:00.0,MAC000002,Std,0.185
00:00.0,MAC000002,Std,0.897
30:00.0,MAC000002,Std,0.332
00:00.0,MAC000002,Std,0.775
30:00.0,MAC000002,Std,0.716
00:00.0,MAC000002,Std,0.614
30:00.0,MAC000002,Std,0.219
00:00.0,MAC000002,Std,0.178
30:00.0,MAC000002,Std,0.193
00:00.0,MAC000002,Std,0.166
30:00.0,MAC000002,Std,0.162
00:00.0,MAC000002,Std,0.165
30:00.0,MAC000002,Std,0.154
00:00.0,MAC000002,Std,0.173
30:00.0,MAC000002,Std,0.114
00:00.0,MAC000002,Std,0.128
30:00.0,MAC000002,Std,0.082
00:00.0,MAC000002,Std,0.133
30:00.0,MAC000002,Std,0.074
00:00.0,MAC000002,Std,0.133
30:00.0,MAC000002,Std,0.072
00:00.0,MAC000002,Std,0.131
30:00.0,MAC000002,Std,0.079
00:00.0,MAC000002,Std,0.125
30:00.0,MAC000002,Std,0.086
00:00.0,MAC000002,Std,0.114
30:00.0,MAC000002,Std,0.097
00:00.0,MAC000002,Std,0.155
30:00.0,MAC000002,Std,0.235
00:00.0,MAC000002,Std,0.196
30:00.0,MAC000002,Std,0.191
00:00.0,MAC000002,Std,0.083
30:00.0,MAC000002,Std,0.119
00:00.0,MAC000002,Std,0.095
30:00.0,MAC000002,Std,0.105
00:00.0,MAC000002,Std,0.108
30:00.0,MAC000002,Std,0.09
00:00.0,MAC000002,Std,0.122
30:00.0,MAC000002,Std,0.076
00:00.0,MAC000002,Std,0.164
30:00.0,MAC000002,Std,0.167
00:00.0,MAC000002,Std,0.135
30:00.0,MAC000002,Std,0.077
00:00.0,MAC000002,Std,0.26
30:00.0,MAC000002,Std,0.13
00:00.0,MAC000002,Std,0.406
30:00.0,MAC000002,Std,0.109
00:00.0,MAC000002,Std,0.177
30:00.0,MAC000002,Std,0.263
00:00.0,MAC000002,Std,0.315
30:00.0,MAC000002,Std,0.216
00:00.0,MAC000002,Std,0.822
30:00.0,MAC000002,Std,0.322
00:00.0,MAC000002,Std,0.213
30:00.0,MAC000002,Std,0.296
00:00.0,MAC000002,Std,0.226
30:00.0,MAC000002,Std,0.269
00:00.0,MAC000002,Std,0.19
30:00.0,MAC000002,Std,0.239
00:00.0,MAC000002,Std,0.2
00:00.0,MAC000002,Std,0.2
30:00.0,MAC000002,Std,0.229
00:00.0,MAC000002,Std,0.192
30:00.0,MAC000002,Std,0.217
00:00.0,MAC000002,Std,0.18
30:00.0,MAC000002,Std,0.139
00:00.0,MAC000002,Std,0.097
30:00.0,MAC000002,Std,0.12
00:00.0,MAC000002,Std,0.097
30:00.0,MAC000002,Std,0.118
00:00.0,MAC000002,Std,0.095
30:00.0,MAC000002,Std,0.119
00:00.0,MAC000002,Std,0.089
30:00.0,MAC000002,Std,0.124
00:00.0,MAC000002,Std,0.085
30:00.0,MAC000002,Std,0.128
00:00.0,MAC000002,Std,0.077
30:00.0,MAC000002,Std,0.133
00:00.0,MAC000002,Std,0.087
30:00.0,MAC000002,Std,0.176
00:00.0,MAC000002,Std,0.073
30:00.0,MAC000002,Std,0.264
00:00.0,MAC000002,Std,0.505
30:00.0,MAC000002,Std,0.798
00:00.0,MAC000002,Std,0.724
30:00.0,MAC000002,Std,0.662
00:00.0,MAC000002,Std,0.389
30:00.0,MAC000002,Std,0.079
00:00.0,MAC000002,Std,0.178
30:00.0,MAC000002,Std,0.148
00:00.0,MAC000002,Std,0.233
30:00.0,MAC000002,Std,0.328
00:00.0,MAC000002,Std,0.428
30:00.0,MAC000002,Std,0.592
00:00.0,MAC000002,Std,0.688
30:00.0,MAC000002,Std,0.893
00:00.0,MAC000002,Std,1.4529999
30:00.0,MAC000002,Std,0.909
00:00.0,MAC000002,Std,0.504
30:00.0,MAC000002,Std,0.637
00:00.0,MAC000002,Std,0.686
30:00.0,MAC000002,Std,0.581
00:00.0,MAC000002,Std,0.585
30:00.0,MAC000002,Std,0.562
00:00.0,MAC000002,Std,0.536
30:00.0,MAC000002,Std,0.429
00:00.0,MAC000002,Std,0.426
30:00.0,MAC000002,Std,0.386
00:00.0,MAC000002,Std,0.39
30:00.0,MAC000002,Std,0.348
00:00.0,MAC000002,Std,0.372
30:00.0,MAC000002,Std,0.341
00:00.0,MAC000002,Std,0.37
30:00.0,MAC000002,Std,0.285
00:00.0,MAC000002,Std,0.272
30:00.0,MAC000002,Std,0.268
00:00.0,MAC000002,Std,0.251
30:00.0,MAC000002,Std,0.287
00:00.0,MAC000002,Std,0.232
30:00.0,MAC000002,Std,0.286
00:00.0,MAC000002,Std,0.249
30:00.0,MAC000002,Std,0.269
00:00.0,MAC000002,Std,0.329
30:00.0,MAC000002,Std,0.298
00:00.0,MAC000002,Std,0.286
30:00.0,MAC000002,Std,0.247
00:00.0,MAC000002,Std,0.321
30:00.0,MAC000002,Std,0.329
00:00.0,MAC000002,Std,0.418
30:00.0,MAC000002,Std,0.37
00:00.0,MAC000002,Std,0.38
30:00.0,MAC000002,Std,0.771
00:00.0,MAC000002,Std,0.557
30:00.0,MAC000002,Std,0.413
00:00.0,MAC000002,Std,0.374
30:00.0,MAC000002,Std,0.415
00:00.0,MAC000002,Std,0.657
30:00.0,MAC000002,Std,0.36
00:00.0,MAC000002,Std,0.344
30:00.0,MAC000002,Std,0.434
00:00.0,MAC000002,Std,0.589
30:00.0,MAC000002,Std,0.641
00:00.0,MAC000002,Std,0.877
30:00.0,MAC000002,Std,0.79
00:00.0,MAC000002,Std,1.285
30:00.0,MAC000002,Std,2.1600001
00:00.0,MAC000002,Std,0.829
30:00.0,MAC000002,Std,0.72
00:00.0,MAC000002,Std,0.701
30:00.0,MAC000002,Std,0.873
00:00.0,MAC000002,Std,0.903
30:00.0,MAC000002,Std,0.813
00:00.0,MAC000002,Std,0.548
30:00.0,MAC000002,Std,0.402
00:00.0,MAC000002,Std,0.446
30:00.0,MAC000002,Std,0.39
00:00.0,MAC000002,Std,0.431
30:00.0,MAC000002,Std,0.401
00:00.0,MAC000002,Std,0.294
30:00.0,MAC000002,Std,0.359
00:00.0,MAC000002,Std,0.305
30:00.0,MAC000002,Std,0.353
00:00.0,MAC000002,Std,0.323
30:00.0,MAC000002,Std,0.336
00:00.0,MAC000002,Std,0.447
30:00.0,MAC000002,Std,0.411
00:00.0,MAC000002,Std,0.451
30:00.0,MAC000002,Std,0.404
00:00.0,MAC000002,Std,0.443
30:00.0,MAC000002,Std,0.413
00:00.0,MAC000002,Std,0.419
30:00.0,MAC000002,Std,0.488
00:00.0,MAC000002,Std,0.53
30:00.0,MAC000002,Std,0.704
00:00.0,MAC000002,Std,0.501
30:00.0,MAC000002,Std,0.475
00:00.0,MAC000002,Std,0.277
30:00.0,MAC000002,Std,0.263
00:00.0,MAC000002,Std,0.211
30:00.0,MAC000002,Std,0.282
00:00.0,MAC000002,Std,0.184
30:00.0,MAC000002,Std,0.096
00:00.0,MAC000002,Std,0.124
30:00.0,MAC000002,Std,0.105
00:00.0,MAC000002,Std,0.094
30:00.0,MAC000002,Std,0.126
00:00.0,MAC000002,Std,0.207
30:00.0,MAC000002,Std,0.616
00:00.0,MAC000002,Std,0.438
30:00.0,MAC000002,Std,0.656
00:00.0,MAC000002,Std,0.621
30:00.0,MAC000002,Std,0.488
00:00.0,MAC000002,Std,0.394
30:00.0,MAC000002,Std,0.866
00:00.0,MAC000002,Std,1.126
30:00.0,MAC000002,Std,0.284
00:00.0,MAC000002,Std,0.282
30:00.0,MAC000002,Std,0.441
00:00.0,MAC000002,Std,0.705
30:00.0,MAC000002,Std,0.393
00:00.0,MAC000002,Std,0.372
30:00.0,MAC000002,Std,0.215
00:00.0,MAC000002,Std,0.315
30:00.0,MAC000002,Std,0.216
00:00.0,MAC000002,Std,0.22
30:00.0,MAC000002,Std,0.152
00:00.0,MAC000002,Std,0.215
30:00.0,MAC000002,Std,0.121
00:00.0,MAC000002,Std,0.151
30:00.0,MAC000002,Std,0.079
00:00.0,MAC000002,Std,0.141
30:00.0,MAC000002,Std,0.076
00:00.0,MAC000002,Std,0.14
30:00.0,MAC000002,Std,0.073
00:00.0,MAC000002,Std,0.138
30:00.0,MAC000002,Std,0.075
00:00.0,MAC000002,Std,0.131
30:00.0,MAC000002,Std,0.084
00:00.0,MAC000002,Std,0.122
30:00.0,MAC000002,Std,0.093
00:00.0,MAC000002,Std,0.147
30:00.0,MAC000002,Std,0.226
00:00.0,MAC000002,Std,0.51
30:00.0,MAC000002,Std,0.184
00:00.0,MAC000002,Std,0.073
30:00.0,MAC000002,Std,0.131
00:00.0,MAC000002,Std,0.07
30:00.0,MAC000002,Std,0.136
00:00.0,MAC000002,Std,0.193
30:00.0,MAC000002,Std,0.45
00:00.0,MAC000002,Std,0.14
30:00.0,MAC000002,Std,0.193
00:00.0,MAC000002,Std,0.148
30:00.0,MAC000002,Std,0.231
00:00.0,MAC000002,Std,0.184
30:00.0,MAC000002,Std,0.449
00:00.0,MAC000002,Std,0.336
30:00.0,MAC000002,Std,0.141
00:00.0,MAC000002,Std,0.189
30:00.0,MAC000002,Std,0.146
00:00.0,MAC000002,Std,0.174
30:00.0,MAC000002,Std,0.168
00:00.0,MAC000002,Std,0.155
30:00.0,MAC000002,Std,0.475
00:00.0,MAC000002,Std,0.34
30:00.0,MAC000002,Std,0.66
00:00.0,MAC000002,Std,0.671
30:00.0,MAC000002,Std,0.496
00:00.0,MAC000002,Std,0.406
30:00.0,MAC000002,Std,0.241
00:00.0,MAC000002,Std,0.228
30:00.0,MAC000002,Std,0.183
00:00.0,MAC000002,Std,0.187
30:00.0,MAC000002,Std,0.185
00:00.0,MAC000002,Std,0.185
30:00.0,MAC000002,Std,0.183
00:00.0,MAC000002,Std,0.086
30:00.0,MAC000002,Std,0.133
00:00.0,MAC000002,Std,0.101
30:00.0,MAC000002,Std,0.113
00:00.0,MAC000002,Std,0.111
30:00.0,MAC000002,Std,0.093
00:00.0,MAC000002,Std,0.128
30:00.0,MAC000002,Std,0.076
00:00.0,MAC000002,Std,0.151
30:00.0,MAC000002,Std,0.087
00:00.0,MAC000002,Std,0.116
30:00.0,MAC000002,Std,0.193
00:00.0,MAC000002,Std,0.511
30:00.0,MAC000002,Std,0.311
00:00.0,MAC000002,Std,0.591
30:00.0,MAC000002,Std,0.531
00:00.0,MAC000002,Std,0.135
30:00.0,MAC000002,Std,0.289
00:00.0,MAC000002,Std,0.221
30:00.0,MAC000002,Std,0.102
00:00.0,MAC000002,Std,0.782
30:00.0,MAC000002,Std,0.266
00:00.0,MAC000002,Std,0.217
30:00.0,MAC000002,Std,0.166
00:00.0,MAC000002,Std,0.097
30:00.0,MAC000002,Std,0.13
00:00.0,MAC000002,Std,0.088
30:00.0,MAC000002,Std,0.114
00:00.0,MAC000002,Std,0.14
30:00.0,MAC000002,Std,0.273
00:00.0,MAC000002,Std,0.233
30:00.0,MAC000002,Std,0.157
00:00.0,MAC000002,Std,0.155
30:00.0,MAC000002,Std,0.855
00:00.0,MAC000002,Std,1.8890001
30:00.0,MAC000002,Std,0.796
00:00.0,MAC000002,Std,0.753
30:00.0,MAC000002,Std,0.607
00:00.0,MAC000002,Std,0.71
30:00.0,MAC000002,Std,0.574
00:00.0,MAC000002,Std,0.846
30:00.0,MAC000002,Std,0.343
00:00.0,MAC000002,Std,0.282
30:00.0,MAC000002,Std,0.245
00:00.0,MAC000002,Std,0.286
30:00.0,MAC000002,Std,0.199
00:00.0,MAC000002,Std,0.196
30:00.0,MAC000002,Std,0.1
00:00.0,MAC000002,Std,0.131
30:00.0,MAC000002,Std,0.096
00:00.0,MAC000002,Std,0.112
30:00.0,MAC000002,Std,0.107
00:00.0,MAC000002,Std,0.097
30:00.0,MAC000002,Std,0.12
00:00.0,MAC000002,Std,0.081
30:00.0,MAC000002,Std,0.132
00:00.0,MAC000002,Std,0.073
30:00.0,MAC000002,Std,0.128
00:00.0,MAC000002,Std,0.089
30:00.0,MAC000002,Std,0.109
00:00.0,MAC000002,Std,0.16
30:00.0,MAC000002,Std,0.242
00:00.0,MAC000002,Std,0.619
30:00.0,MAC000002,Std,0.493
00:00.0,MAC000002,Std,0.469
30:00.0,MAC000002,Std,0.878
00:00.0,MAC000002,Std,0.917
30:00.0,MAC000002,Std,0.37
00:00.0,MAC000002,Std,0.15
30:00.0,MAC000002,Std,0.146
00:00.0,MAC000002,Std,0.163
30:00.0,MAC000002,Std,0.137
00:00.0,MAC000002,Std,0.132
30:00.0,MAC000002,Std,0.126
00:00.0,MAC000002,Std,0.172
30:00.0,MAC000002,Std,0.14
00:00.0,MAC000002,Std,0.18
30:00.0,MAC000002,Std,0.119
00:00.0,MAC000002,Std,0.265
30:00.0,MAC000002,Std,0.15
00:00.0,MAC000002,Std,0.363
30:00.0,MAC000002,Std,0.452
00:00.0,MAC000002,Std,0.566
30:00.0,MAC000002,Std,0.231
