DateTime,LCLid,stdorToU,KWH/hh (per half hour) 
00:00.0,MAC000003,Std,0.976
30:00.0,MAC000003,Std,0.834
00:00.0,MAC000003,Std,0.577
30:00.0,MAC000003,Std,0.63
00:00.0,MAC000003,Std,0.679
30:00.0,MAC000003,Std,0.321
00:00.0,MAC000003,Std,0.28
30:00.0,MAC000003,Std,0.202
00:00.0,MAC000003,Std,0.187
30:00.0,MAC000003,Std,0.187
00:00.0,MAC000003,Std,0.145
30:00.0,MAC000003,Std,0.164
00:00.0,MAC000003,Std,0.104
30:00.0,MAC000003,Std,0.336
00:00.0,MAC000003,Std,0.171
30:00.0,MAC000003,Std,0.165
00:00.0,MAC000003,Std,0.216
30:00.0,MAC000003,Std,0.25
00:00.0,MAC000003,Std,0.255
30:00.0,MAC000003,Std,0.164
00:00.0,MAC000003,Std,0.174
30:00.0,MAC000003,Std,0.544
00:00.0,MAC000003,Std,0.346
30:00.0,MAC000003,Std,3.3789999
00:00.0,MAC000003,Std,3.148
30:00.0,MAC000003,Std,3.277
00:00.0,MAC000003,Std,2.5680001
30:00.0,MAC000003,Std,2.1459999
00:00.0,MAC000003,Std,2.6289999
30:00.0,MAC000003,Std,2.418
00:00.0,MAC000003,Std,2.4170001
30:00.0,MAC000003,Std,1.8099999
00:00.0,MAC000003,Std,0.252
30:00.0,MAC000003,Std,0.401
00:00.0,MAC000003,Std,0.33
30:00.0,MAC000003,Std,0.578
00:00.0,MAC000003,Std,0.684
30:00.0,MAC000003,Std,0.101
00:00.0,MAC000003,Std,0.04
30:00.0,MAC000003,Std,0.182
00:00.0,MAC000003,Std,0.158
30:00.0,MAC000003,Std,0.215
00:00.0,MAC000003,Std,0.296
30:00.0,MAC000003,Std,0.23
00:00.0,MAC000003,Std,0.239
30:00.0,MAC000003,Std,0.078
00:00.0,MAC000003,Std,0.041
30:00.0,MAC000003,Std,0.095
00:00.0,MAC000003,Std,0.213
30:00.0,MAC000003,Std,0.23
00:00.0,MAC000003,Std,0.176
30:00.0,MAC000003,Std,0.145
00:00.0,MAC000003,Std,0.179
30:00.0,MAC000003,Std,0.111
00:00.0,MAC000003,Std,0.125
30:00.0,MAC000003,Std,0.106
00:00.0,MAC000003,Std,0.06
30:00.0,MAC000003,Std,0.282
00:00.0,MAC000003,Std,0.219
30:00.0,MAC000003,Std,0.256
00:00.0,MAC000003,Std,0.283
30:00.0,MAC000003,Std,0.242
00:00.0,MAC000003,Std,0.279
30:00.0,MAC000003,Std,0.181
00:00.0,MAC000003,Std,0.141
30:00.0,MAC000003,Std,0.2
00:00.0,MAC000003,Std,0.189
30:00.0,MAC000003,Std,0.21
00:00.0,MAC000003,Std,0.189
30:00.0,MAC000003,Std,0.144
00:00.0,MAC000003,Std,0.178
30:00.0,MAC000003,Std,1.971
00:00.0,MAC000003,Std,2.132
30:00.0,MAC000003,Std,1.8099999
00:00.0,MAC000003,Std,0.928
30:00.0,MAC000003,Std,1.669
00:00.0,MAC000003,Std,0.986
30:00.0,MAC000003,Std,1.219
00:00.0,MAC000003,Std,1.285
30:00.0,MAC000003,Std,1.054
00:00.0,MAC000003,Std,0.481
30:00.0,MAC000003,Std,0.19
00:00.0,MAC000003,Std,0.461
30:00.0,MAC000003,Std,0.064
00:00.0,MAC000003,Std,0.586
30:00.0,MAC000003,Std,0.109
00:00.0,MAC000003,Std,0.116
30:00.0,MAC000003,Std,0.131
00:00.0,MAC000003,Std,0.072
30:00.0,MAC000003,Std,0.185
00:00.0,MAC000003,Std,0.179
30:00.0,MAC000003,Std,0.17
00:00.0,MAC000003,Std,0.163
30:00.0,MAC000003,Std,0.109
00:00.0,MAC000003,Std,0.09
30:00.0,MAC000003,Std,0.112
00:00.0,MAC000003,Std,0.06
30:00.0,MAC000003,Std,0.112
00:00.0,MAC000003,Std,0.111
30:00.0,MAC000003,Std,0.11
00:00.0,MAC000003,Std,0.127
30:00.0,MAC000003,Std,0.071
00:00.0,MAC000003,Std,0.095
30:00.0,MAC000003,Std,0.092
00:00.0,MAC000003,Std,0.107
30:00.0,MAC000003,Std,0.287
00:00.0,MAC000003,Std,0.263
30:00.0,MAC000003,Std,0.188
00:00.0,MAC000003,Std,0.231
30:00.0,MAC000003,Std,0.176
00:00.0,MAC000003,Std,0.231
30:00.0,MAC000003,Std,0.207
00:00.0,MAC000003,Std,0.171
30:00.0,MAC000003,Std,0.178
00:00.0,MAC000003,Std,0.077
30:00.0,MAC000003,Std,0.072
00:00.0,MAC000003,Std,0.108
30:00.0,MAC000003,Std,0.085
00:00.0,MAC000003,Std,0.12
30:00.0,MAC000003,Std,1.9910001
00:00.0,MAC000003,Std,1.978
30:00.0,MAC000003,Std,1.717
00:00.0,MAC000003,Std,0.824
30:00.0,MAC000003,Std,1.1569999
00:00.0,MAC000003,Std,0.942
30:00.0,MAC000003,Std,0.965
00:00.0,MAC000003,Std,1.276
30:00.0,MAC000003,Std,0.594
00:00.0,MAC000003,Std,0.23
30:00.0,MAC000003,Std,0.709
00:00.0,MAC000003,Std,0.146
30:00.0,MAC000003,Std,0.187
00:00.0,MAC000003,Std,0.847
30:00.0,MAC000003,Std,0.122
00:00.0,MAC000003,Std,0.106
30:00.0,MAC000003,Std,0.091
